participant,emotion,filename,full_path,relative_path,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,zcr,rms,spec_centroid,f0_mean,jitter,shimmer
Participant 1,1. Neutral,1.1.mp3,C:\Users\bdeep\Downloads\research1\Punjabi\Participant 1\1. Neutral\1.1.mp3,Participant 1\1. Neutral\1.1.mp3,-398.0462646484375,133.9579315185547,13.22737979888916,16.002685546875,20.646997451782227,11.353243827819824,-1.4862333536148071,-4.107715129852295,-6.852065563201904,-4.234348297119141,-10.568377494812012,-8.218588829040527,5.724859714508057,0.3371037542819977,0.2841339707374573,0.301817923784256,0.2723531424999237,0.30711930990219116,0.37702903151512146,0.47738102078437805,0.4748614728450775,0.43114373087882996,0.43627986311912537,0.4367726743221283,0.44904837012290955,0.055104573567708336,0.026912854984402657,1289.4447773565134,204.72957327533848,0.025123479221296707,0.13386097267839492
Participant 1,1. Neutral,10.1.mp3,C:\Users\bdeep\Downloads\research1\Punjabi\Participant 1\1. Neutral\10.1.mp3,Participant 1\1. Neutral\10.1.mp3,-355.3224792480469,115.97198486328125,-3.588266372680664,17.8697509765625,-6.516343116760254,-11.122360229492188,-11.55952262878418,9.276753425598145,-2.6040804386138916,-15.848767280578613,4.361279010772705,-6.456727981567383,-6.024417400360107,0.3072656989097595,0.2719193994998932,0.27273041009902954,0.3390212655067444,0.31136515736579895,0.3199456036090851,0.37377601861953735,0.5174914002418518,0.6392397880554199,0.48390206694602966,0.41205957531929016,0.40024539828300476,0.07891222895408163,0.03492958843708038,1671.7179819181438,212.45455145784905,0.01710875913311899,0.07611715628172623
Participant 1,1. Neutral,11.1.mp3,C:\Users\bdeep\Downloads\research1\Punjabi\Participant 1\1. Neutral\11.1.mp3,Participant 1\1. Neutral\11.1.mp3,-383.1623229980469,143.26231384277344,2.2302052974700928,15.725683212280273,23.443185806274414,9.052836418151855,1.6204125881195068,3.232680559158325,-14.008560180664062,-8.290614128112793,-7.265558242797852,-17.46779441833496,-9.289769172668457,0.4103892743587494,0.3824473023414612,0.29233232140541077,0.2687738537788391,0.21224890649318695,0.23208999633789062,0.3241364061832428,0.4455074667930603,0.39476168155670166,0.40678727626800537,0.3764786720275879,0.3778136968612671,0.046619007888349516,0.024839190766215324,1234.9215753497895,197.10423353185317,0.02749462895288122,0.14964919199152624
Participant 1,1. Neutral,12.1.mp3,C:\Users\bdeep\Downloads\research1\Punjabi\Participant 1\1. Neutral\12.1.mp3,Participant 1\1. Neutral\12.1.mp3,-368.4145812988281,110.39203643798828,15.308947563171387,11.57749080657959,-1.2130240201950073,-4.078314781188965,-15.180628776550293,8.90089225769043,-6.042295932769775,-10.623113632202148,3.2801520824432373,-10.34276008605957,-9.94257640838623,0.37767937779426575,0.2841058075428009,0.22157572209835052,0.23350432515144348,0.26426053047180176,0.3213740289211273,0.3893175721168518,0.48212066292762756,0.4587004780769348,0.44079726934432983,0.38491207361221313,0.41939884424209595,0.06280517578125,0.03426588326692581,1644.629143483056,220.9337607898167,0.021760624169542192,0.08606357945601793
Participant 1,1. Neutral,13.1.mp3,C:\Users\bdeep\Downloads\research1\Punjabi\Participant 1\1. Neutral\13.1.mp3,Participant 1\1. Neutral\13.1.mp3,-369.43682861328125,133.05374145507812,-20.10681915283203,28.915620803833008,13.946951866149902,11.707113265991211,-2.2534775733947754,0.8169112801551819,-13.75167465209961,-5.93009614944458,-9.328949928283691,-8.598246574401855,-2.6108806133270264,0.35994046926498413,0.2640977203845978,0.2935989499092102,0.26221907138824463,0.21209020912647247,0.2713545560836792,0.3807969093322754,0.41877827048301697,0.3737975060939789,0.40379372239112854,0.5578234195709229,0.5983922481536865,0.07723838404605263,0.0220606978982687,1548.2810620061919,223.14304755615245,0.023118741400906417,0.12458362072326647
Participant 1,1. Neutral,14.1.mp3,C:\Users\bdeep\Downloads\research1\Punjabi\Participant 1\1. Neutral\14.1.mp3,Participant 1\1. Neutral\14.1.mp3,-383.2633056640625,137.9813690185547,-21.545732498168945,37.1091423034668,28.286733627319336,-6.124744892120361,-0.8535807728767395,3.9573230743408203,-17.662940979003906,-13.302623748779297,-5.930830478668213,-9.552105903625488,-10.893722534179688,0.3225913643836975,0.22115932404994965,0.20972105860710144,0.21356560289859772,0.22403840720653534,0.27107927203178406,0.3233373463153839,0.3715006113052368,0.3332519829273224,0.33050212264060974,0.4862746000289917,0.5410639643669128,0.05509786402925532,0.026968317106366158,1321.1350749266207,217.0075828542448,0.0255306545132019,0.11571455479898526
Participant 1,1. Neutral,15.1.mp3,C:\Users\bdeep\Downloads\research1\Punjabi\Participant 1\1. Neutral\15.1.mp3,Participant 1\1. Neutral\15.1.mp3,-387.50823974609375,119.61866760253906,-11.747810363769531,31.28314971923828,12.329660415649414,14.731001853942871,2.0047554969787598,3.098062515258789,-10.19192123413086,-7.053203105926514,-11.999521255493164,-10.574426651000977,-1.6090565919876099,0.4322945773601532,0.355510950088501,0.31213119626045227,0.3211500942707062,0.3277847468852997,0.3274538815021515,0.42001160979270935,0.45397111773490906,0.41443750262260437,0.4776100814342499,0.508731484413147,0.4941149652004242,0.09512380826271187,0.019073080271482468,1774.6315491236699,228.10410800146195,0.025351210741421874,0.11160345477047826
Participant 1,1. Neutral,2.1.mp3,C:\Users\bdeep\Downloads\research1\Punjabi\Participant 1\1. Neutral\2.1.mp3,Participant 1\1. Neutral\2.1.mp3,-388.7240295410156,123.54364776611328,19.117778778076172,14.266600608825684,13.131525039672852,0.9171676635742188,1.1499861478805542,-0.006077741272747517,-9.368753433227539,-3.5723791122436523,-3.7611429691314697,-11.415578842163086,-1.0619351863861084,0.34184181690216064,0.30962151288986206,0.2618595361709595,0.24699640274047852,0.20691685378551483,0.29660266637802124,0.37613293528556824,0.4250294268131256,0.365764319896698,0.39473187923431396,0.5513697862625122,0.472902774810791,0.05237572594026549,0.03356747329235077,1395.3552094526317,220.27671406365937,0.01620568618254795,0.10391726407810267
Participant 1,1. Neutral,3.1.mp3,C:\Users\bdeep\Downloads\research1\Punjabi\Participant 1\1. Neutral\3.1.mp3,Participant 1\1. Neutral\3.1.mp3,-355.093505859375,114.25753021240234,11.652350425720215,23.345129013061523,12.744424819946289,-1.0287868976593018,-0.5219327211380005,2.236037015914917,-15.340709686279297,-5.480171203613281,-1.036806344985962,-4.904321670532227,-0.30006998777389526,0.35877153277397156,0.2530308961868286,0.23905034363269806,0.25460559129714966,0.2067914605140686,0.19399584829807281,0.24570363759994507,0.3157936930656433,0.29339125752449036,0.4762042760848999,0.4887423515319824,0.5127930641174316,0.06439324145047169,0.03710851073265076,1559.388399390378,219.06477864098107,0.014855041861722557,0.09788994275040615
Participant 1,1. Neutral,4.1.mp3,C:\Users\bdeep\Downloads\research1\Punjabi\Participant 1\1. Neutral\4.1.mp3,Participant 1\1. Neutral\4.1.mp3,-365.94427490234375,120.72752380371094,-6.442631244659424,18.665849685668945,5.047542572021484,-14.16635799407959,-16.949121475219727,20.486709594726562,-3.278989553451538,-12.52476978302002,-0.6435447931289673,-5.296414852142334,1.5507386922836304,0.29906973242759705,0.28595590591430664,0.29760509729385376,0.32942500710487366,0.31968817114830017,0.33815303444862366,0.29885634779930115,0.40338605642318726,0.4469164311885834,0.5023579001426697,0.4707476794719696,0.3655953109264374,0.06361171177455358,0.032331861555576324,1523.5861017326802,216.69919913408432,0.014287292842099546,0.0721163500705827
